===============================================================================
Id,orcl-1995-2014,len,datetime,open,high,low,close,volume,openinterest,adjclose,Strategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
11,orcl-1995-2014,11,1999-01-19 23:59:59.999989,7.47,7.72,7.31,7.66,107696340.0,0.0,7.662584,Strategy,11,729773.9999999999,Broker,11,1000.0,1000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,orcl-1995-2014,12,1999-01-20 23:59:59.999989,7.93,7.99,7.54,7.54,91629102.0,0.0,7.542137,Strategy,12,729774.9999999999,Broker,12,1000.0,1000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,orcl-1995-2014,13,1999-01-21 23:59:59.999989,7.52,7.72,7.13,7.22,103491613.0,0.0,7.217844,Strategy,13,729775.9999999999,Broker,13,1000.0,1000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,orcl-1995-2014,14,1999-01-22 23:59:59.999989,7.02,7.72,7.0,7.39,69542759.0,0.0,7.393887,Strategy,14,729776.9999999999,Broker,14,1000.0,1000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,orcl-1995-2014,15,1999-01-25 23:59:59.999989,7.48,7.71,7.38,7.57,36710024.0,0.0,7.569931,Strategy,15,729779.9999999999,Broker,15,1000.0,1000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,orcl-1995-2014,16,1999-01-26 23:59:59.999989,7.68,7.85,7.61,7.84,45475489.0,0.0,7.838632,Strategy,16,729780.9999999999,Broker,16,1000.0,1000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,orcl-1995-2014,17,1999-01-27 23:59:59.999989,7.88,7.96,7.56,7.56,60760645.0,0.0,7.560667,Strategy,17,729781.9999999999,Broker,17,1000.0,1000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,orcl-1995-2014,18,1999-01-28 23:59:59.999989,7.71,8.05,7.7,7.96,62948405.0,0.0,7.959086,Strategy,18,729782.9999999999,Broker,18,1000.0,1000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,orcl-1995-2014,19,1999-01-29 23:59:59.999989,8.08,8.32,8.02,8.21,76597149.0,0.0,8.209252,Strategy,19,729783.9999999999,Broker,19,1000.0,1000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,orcl-1995-2014,20,1999-02-01 23:59:59.999989,8.64,8.95,8.52,8.77,99991646.0,0.0,8.765186,Strategy,20,729786.9999999999,Broker,20,1000.0,1000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,orcl-1995-2014,21,1999-02-02 23:59:59.999989,9.02,9.15,8.47,8.72,118468783.0,0.0,8.718855,Strategy,21,729787.9999999999,Broker,21,1000.0,1000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,orcl-1995-2014,22,1999-02-03 23:59:59.999989,8.77,9.02,8.69,9.01,64016917.0,0.0,9.006085,Strategy,22,729788.9999999999,Broker,22,1000.0,1000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,orcl-1995-2014,23,1999-02-04 23:59:59.999989,9.08,9.1,8.64,8.64,55241523.0,0.0,8.644734,Strategy,23,729789.9999999999,Broker,23,1000.0,1000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,orcl-1995-2014,24,1999-02-05 23:59:59.999989,8.64,8.67,8.24,8.33,91114672.0,0.0,8.329704,Strategy,24,729790.9999999999,Broker,24,1000.0,1000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,orcl-1995-2014,25,1999-02-08 23:59:59.999989,8.49,8.74,8.43,8.51,63406185.0,0.0,8.505753,Strategy,25,729793.9999999999,Broker,25,1000.0,1000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,orcl-1995-2014,26,1999-02-09 23:59:59.999989,8.55,8.58,7.97,8.1,58531971.0,0.0,8.098065,Strategy,26,729794.9999999999,Broker,26,1000.0,1000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,orcl-1995-2014,27,1999-02-10 23:59:59.999989,8.17,8.34,7.77,7.96,83701412.0,0.0,7.959086,Strategy,27,729795.9999999999,Broker,27,1000.0,1000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,orcl-1995-2014,28,1999-02-11 23:59:59.999989,8.07,8.85,8.01,8.83,87187480.0,0.0,8.830042,Strategy,28,729796.9999999999,Broker,28,1000.0,1000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,orcl-1995-2014,29,1999-02-12 23:59:59.999989,8.6,8.67,8.31,8.4,73969575.0,0.0,8.403828,Strategy,29,729797.9999999999,Broker,29,1000.0,1000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,orcl-1995-2014,30,1999-02-16 23:59:59.999989,8.62,8.69,7.81,7.92,68684746.0,0.0,7.922021,Strategy,30,729801.9999999999,Broker,30,1000.0,1000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,orcl-1995-2014,31,1999-02-17 23:59:59.999989,7.84,8.39,7.45,7.6,95279734.0,0.0,7.59773,Strategy,31,729802.9999999999,Broker,31,1000.0,1000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,orcl-1995-2014,32,1999-02-18 23:59:59.999989,7.71,7.81,7.34,7.53,106463668.0,0.0,7.532871,Strategy,32,729803.9999999999,Broker,32,1000.0,1000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,orcl-1995-2014,33,1999-02-19 23:59:59.999989,7.63,8.04,7.54,8.03,58383115.0,0.0,8.033207,Strategy,33,729804.9999999999,Broker,33,1000.0,1000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,orcl-1995-2014,34,1999-02-22 23:59:59.999989,8.14,8.17,7.96,8.09,67313169.0,0.0,8.088801,Strategy,34,729807.9999999999,Broker,34,1000.0,1000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,orcl-1995-2014,35,1999-02-23 23:59:59.999989,8.18,8.69,8.14,8.67,68369046.0,0.0,8.67253,Strategy,35,729808.9999999999,Broker,35,1000.0,1000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,orcl-1995-2014,36,1999-02-24 23:59:59.999989,8.74,8.75,8.24,8.26,51154682.0,0.0,8.255583,Strategy,36,729809.9999999999,Broker,36,912.6,995.2,BuySell,36,8.1164,,Trades - Net Profit/Loss,36,,
37,orcl-1995-2014,37,1999-02-25 23:59:59.999989,8.23,8.74,8.08,8.6,98745085.0,0.0,8.598407,Strategy,37,729810.9999999999,Broker,37,912.6,998.6,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,orcl-1995-2014,38,1999-02-26 23:59:59.999989,8.55,8.55,8.11,8.28,62921409.0,0.0,8.283381,Strategy,38,729811.9999999999,Broker,38,912.6,995.4,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,orcl-1995-2014,39,1999-03-01 23:59:59.999989,8.33,8.46,7.96,8.14,52747535.0,0.0,8.144392,Strategy,39,729814.9999999999,Broker,39,912.6,994.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,orcl-1995-2014,40,1999-03-02 23:59:59.999989,8.27,8.41,7.77,7.85,47052568.0,0.0,7.852531,Strategy,40,729815.9999999999,Broker,40,995.3000000000001,995.3000000000001,BuySell,40,,8.53615,Trades - Net Profit/Loss,40,,-4.700000000000006
41,orcl-1995-2014,41,1999-03-03 23:59:59.999989,7.95,7.99,7.2,7.78,76334064.0,0.0,7.783039,Strategy,41,729816.9999999999,Broker,41,995.3000000000001,995.3000000000001,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,orcl-1995-2014,42,1999-03-04 23:59:59.999989,7.85,8.27,7.81,8.09,60694995.0,0.0,8.088801,Strategy,42,729817.9999999999,Broker,42,995.3000000000001,995.3000000000001,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,orcl-1995-2014,43,1999-03-05 23:59:59.999989,8.33,8.48,8.19,8.33,33782486.0,0.0,8.325075,Strategy,43,729818.9999999999,Broker,43,995.3000000000001,995.3000000000001,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,orcl-1995-2014,44,1999-03-08 23:59:59.999989,8.46,8.6,8.12,8.52,89603678.0,0.0,8.519649,Strategy,44,729821.9999999999,Broker,44,910.7,995.9000000000001,BuySell,44,7.998199999999999,,Trades - Net Profit/Loss,44,,
45,orcl-1995-2014,45,1999-03-09 23:59:59.999989,8.41,8.81,8.34,8.62,67871697.0,0.0,8.616935,Strategy,45,729822.9999999999,Broker,45,910.7,996.9000000000001,BuySell,45,,,Trades - Net Profit/Loss,45,,
